feature,Description
businessassociationtimeoldest__ln,Time (in months) since a formal business association with the subject first seen on file
businesstitleleadership__ln,"Indicates the business title for the most recent formal business association on subject's file is associated with a leadership position such as director, owner, founder, executive, or president"
assetindex__ln,Modeled risk index indicating the type and relative value of real property and personal property associated with the subject
assetindexprimaryfactor__ln,Indicates the primary factor behind the value returned for the AssetIndex attribute
assetownership__ln,"Indicates subject has ownership of assets (watercraft, aircraft, or real property) based on asset ownership records on file"
assetprop__ln,Indicates subject has ownership of real property based on real property ownership records on file
assetpropindex__ln,Index indicating level of historical property ownership based on real property ownership records on subject's file
assetpropevercount__ln,Total number of real property ever owned based on real property ownership records on subject's file
assetpropcurrentcount__ln,Total number of real property currently owned based on real property ownership records on subject's file
assetpropcurrenttaxtotal__ln,The total sum of tax assessed values for all real property currently owned by the subject based on real property ownership records on subject's file
assetproppurchasecount12month__ln,Total number of real properties identified as purchased by subject within the last 12 months based on real property ownership records on subject's file
assetproppurchasetimeoldest__ln,Time (in months) since earliest recorded real property purchase based on real property ownership records on subject's file
assetproppurchasetimenewest__ln,Time (in months) since most recently recorded real property purchase based on real property ownership records on subject's file
assetpropnewestmortgagetype__ln,Mortgage type associated with the most recently recorded real property purchase based on real property ownership records on subject's file
assetpropeversoldcount__ln,Total number of real properties identified as ever sold based on real property ownership records on subject's file
assetpropsoldcount12month__ln,Total number of real properties identified as sold within the last 12 months based on real property ownership records on subject's file
assetpropsaletimeoldest__ln,Time (in months) since subject's earliest recorded real property sale based on real property ownership records on subject's file
assetpropsaletimenewest__ln,Time (in months) since subject's most recently recorded real property sale based on real property ownership records on subject's file
assetpropnewestsaleprice__ln,Subject's most recent real property sale price based on real property ownership records on file
assetpropsalepurchaseratio__ln,Ratio price comparison of subject's most recent property sale to its original purchase price based on real property ownership records on subject's file
assetpersonal__ln,Indicates subject has ownership of personal property (watercraft and aircraft) based on personal property ownership records on file
assetpersonalcount__ln,Total watercraft registrations and/or aircraft registration records associated with the subject based on personal property ownership records on file
purchaseactivityindex__ln,Index indicating the level of purchase activity on subject's file
purchaseactivitycount__ln,"Total retail, offline, and/or online purchases on subject's file"
purchaseactivitydollartotal__ln,"Total dollar amount of all retail, offline, and/or online purchases on subject's file"
derogseverityindex__ln,Index indicating severity of derogatory records on subject's file
derogcount__ln,"Total derogatory source records (criminal felony, criminal non-felony, sexual offender registry, lien, judgment, bankruptcy, and eviction) on subject's file"
derogcount12month__ln,"Number of derogatory source records (criminal felony, criminal non-felony, lien, judgment, bankruptcy, and eviction) within the last 12 months on subject's file
NOTE: This attribute does not include sexual offender registry records"
derogtimenewest__ln,"Time (in months) since most recently recorded derogatory record (criminal felony, criminal non-felony, lien, judgment, bankruptcy, and eviction) on the subject's file
NOTE: This attribute does not include sexual offender registry records"
criminalfelonycount__ln,Total felony criminal convictions on subject's file
criminalfelonycount12month__ln,Total felony criminal convictions in the last 12 months on subject's file
criminalfelonytimenewest__ln,Time (in months) since most recently recorded felony criminal conviction on subject's file
criminalnonfelonycount__ln,Total non-felony criminal convictions or sexual offender registry records on subject's file
criminalnonfelonycount12month__ln,"Total non-felony criminal convictions in the last 12 months on subject's file
NOTE: This attribute does not include sexual offender registry records"
criminalnonfelonytimenewest__ln,"Time (in months) since most recently recorded non-felony criminal conviction on subject's file
NOTE: This attribute does not include sexual offender registry records"
evictioncount__ln,Total eviction records on subject's file indicating the plaintiff has sought an eviction and does not necessarily mean the defendant has vacated the premises
evictioncount12month__ln,Total eviction records on subject's file in the last 12 months
evictiontimenewest__ln,Time (in months) since most recently recorded eviction on subject's file
lienjudgmentseverityindex__ln,Index indicating severity of lien and judgment records on subject's file
lienjudgmentcount__ln,"Total lien and judgment records on subject's file, excluding evictions"
lienjudgmentcount12month__ln,"Total lien and judgment records in the last 12 months on subject's file, excluding evictions"
lienjudgmentsmallclaimscount__ln,Total small claims court judgments on subject's file
lienjudgmentcourtcount__ln,Total civil court judgments on subject's file
lienjudgmenttaxcount__ln,"Total federal, state, and county tax liens on subject's file"
lienjudgmentforeclosurecount__ln,Total foreclosures on subject's file
lienjudgmentothercount__ln,Total other liens or court judgments on subject's file
lienjudgmenttimenewest__ln,"Time (in months) since the most recently recorded lien or judgment on subject's file, excluding evictions"
lienjudgmentdollartotal__ln,"Total dollar amount of all liens and judgments on subject's file, excluding evictions"
bankruptcycount __ln,Total unique bankruptcy case filings on file showing the subject as debtor
bankruptcycount24month__ln,Total unique bankruptcy case filings on file showing the subject as debtor in the last 24 months
bankruptcytimenewest__ln,Time (in months) since most recent bankruptcy case filing on file showing the subject as debtor
bankruptcychapter__ln,"Indicates bankruptcy chapter of most recent bankruptcy case filing on file showing the subject as debtor, if the bankruptcy is a Chapter 7 or Chapter 13 bankruptcy"
bankruptcystatus__ln,Indicates status of most recent bankruptcy filing on file showing the subject as debtor
bankruptcydismissed24month__ln,Indicates subject has one or more dismissed bankruptcies on file in the last 24 months
shorttermloanrequest__ln,Indicates the subject has one or more short-term loan offer requests on file
shorttermloanrequest12month__ln,Indicates the subject has one or more short-term loan offer requests on file in the last 12 months
shorttermloanrequest24month__ln,Indicates the subject has one or more short-term loan offer requests on file in the last 24 months
inquiryauto12month__ln,Indicates subject has one or more LexisNexis auto financing credit inquiries on file in the last 12 months (multiple auto inquiries within a 14-day period are counted as one inquiry)
inquirybanking12month__ln,Indicates subject has one or more LexisNexis banking credit inquiries on file in the last 12 months
inquirytelcom12month__ln,Indicates subject has one or more LexisNexis telecommunications credit inquiries on file in the last 12 months
inquirynonshortterm12month__ln,"Indicates subject has one or more LexisNexis credit inquiries on file in the last 12 months, excluding personal finance credit and collection inquiries
NOTE: This attribute indicates the subject has any LexisNexis credit inquiry on file, excluding any short-term or collection inquiries. This will include auto, banking, and telecom inquiries returned in other attributes as well as other credit-related inquiries not categorically classified in the attributes."
inquiryshortterm12month__ln,Indicates subject has one or more LexisNexis personal finance credit inquiries on file in the last 12 months (multiple personal finance inquiries within a 24-hour period are counted as one inquiry)
inquirycollections12month__ln,Indicates subject has one or more LexisNexis collection inquiries on file in the last 12 months
ssnsubjectcount__ln,Total number of unique identities found on file with the input SSN 
ssndeceased__ln,Indicates input SSN was reported on a death record on file
ssndatelowissued__ln,"Date of earliest issuance for the input SSN based on the block group issued by the Social Security Administration prior to SSN Randomization on June 25, 2011 that was assigned based on the issuance state and issuance date of the SSN"
ssnproblems__ln,Indicates problems on file associated with the input SSN
addronfilecount__ln,Total number of addresses found on file in subject's address history
addronfilecorrectional__ln,Indicates an address in subject's address history on file is associated with a correctional institution
addronfilecollege__ln,Indicates an address in subject's address history on file is associated with a college or other post-secondary education institutional address
addronfilehighrisk__ln,"Indicates an address in subject's address history on file is associated with a transient or higher risk address, such as a hotel, campground, warehouse, mail drop, or non-residential"
addrinputtimeoldest__ln,Time on file (in months) since subject was first reported at the input address
addrinputtimenewest__ln,Time on file (in months) since the subject was most recently reported at the input address
addrinputlengthofres__ln,Indicates length of time (in months) between oldest and newest records on file for the input address
addrinputsubjectcount__ln,"Total number of unique subjects on file currently reported at the input address, if the address has been designated as a single family dwelling unit"
addrinputmatchindex__ln,Index indicating if the input address matches the current or historical address on file
addrinputsubjectowned__ln,Indicates a property ownership record is on file for the subject at the input address
addrinputdeedmailing__ln,Indicates for the input address that the property owner's mailing address is the same as the property address for the property record on file
addrinputownershipindex__ln,Index indicating subject's ownership level at the input address based on the address property record on file
addrinputphoneservice__ln,Indicates if phone service was found on file for the input address
addrinputphonecount__ln,Total number of unique phone service listings on file currently reported with the input address
addrinputdwelltype__ln,Indicates the dwelling type on file for the input address
addrinputdwelltypeindex__ln,Index indicating the dwelling type on file for the input address
addrinputdelivery__ln,Indicates the mail delivery status on file for the input address
addrinputtimelastsale__ln,Time (in months) since last recorded property sale on file for the input address
addrinputlastsaleprice__ln,Indicates last recorded sale price on file for the input address
addrinputtaxvalue__ln,Indicates the most recent tax assessed value on file for the input address
addrinputtaxyr__ln,Indicates year of most recent tax assessment on file for the input address
addrinputtaxmarketvalue__ln,Indicates input address tax assessed market value on file
addrinputavmvalue__ln,Indicates input address estimated market value on file based on LexisNexis Automated Valuation Model (AVM) electronic property appraisal technology 
addrinputavmvalue12month__ln,Indicates input address AVM value on file 12 months ago
addrinputavmratio12monthprior__ln,Ratio comparison for the input address indicating the difference in AVM values between the most recent AVM value on file and the value 12 months prior to the most recent value on file
addrinputavmvalue60month__ln,Indicates input address AVM value on file 60 months ago
addrinputavmratio60monthprior__ln,Ratio comparison for the input address indicating the difference in AVM values between the most recent AVM value on file and the value 60 months prior to the most recent value on file
addrinputcountyratio__ln,Ratio comparison of the input address property value to county median property value on file
addrinputtractratio__ln,Ratio comparison of the input address property value to tract median property value on file
addrinputblockratio__ln,Ratio comparison of the input address property value to block median property value on file
addrinputproblems__ln,Indicates any problems on file associated with the input address
addrcurrenttimeoldest__ln,Time (in months) since the subject was first reported at the current address on subject's file
addrcurrenttimenewest__ln,Time (in months) since the subject was most recently reported at the current address on subject's file
addrcurrentlengthofres __ln,Indicates time (in months) between first and last date reported at subject's current address
addrcurrentsubjectowned __ln,Indicates a property ownership record is on file for the subject at the current address
addrcurrentdeedmailing__ln,Indicates the property owner's mailing address is the same as the property address on the property record for the current address on subject's file
addrcurrentownershipindex__ln,"Index indicating subject's ownership level at the current address on subject's file, based on the address property record"
addrcurrentphoneservice__ln,Indicates if phone service was found at current address on subject's file
addrcurrentdwelltype __ln,Indicates the dwelling type for current address on subject's file
addrcurrentdwelltypeindex__ln,Index indicating the dwelling type for current address on subject's file
addrcurrenttimelastsale__ln,Time (in months) since the last recorded property sale for the current address on the subject's file
addrcurrentlastsalesprice__ln,Indicates the last recorded sale price for the current address on subject's file
addrcurrenttaxvalue__ln,Indicates the most recent tax assessed value for the current address on subject's file
addrcurrenttaxyr__ln,Indicates year of most recent tax assessment for the current address on subject's file
addrcurrenttaxmarketvalue__ln,Indicates tax assessed market value for the current address on subject's file
addrcurrentavmvalue__ln,Indicates the estimated market value based on LexisNexis Automated Valuation Model (AVM) electronic property appraisal technology for the current address on subject's file
addrcurrentavmvalue12month__ln,Indicates AVM value 12 months ago for the current address on subject's file
addrcurrentavmratio12monthprior__ln,"Ratio comparison for the current address on subject's file, indicating the difference in AVM values between the most recent AVM value and the value 12 months prior to the most recent value"
addrcurrentavmvalue60month__ln,Indicates AVM value 60 months ago for the current address on subject's file
addrcurrentavmratio60monthprior__ln,"Ratio comparison for the current address on subject's file, indicating the difference in AVM values between the most recent AVM value and the value 60 months prior to the most recent value"
addrcurrentcountyratio__ln,Ratio comparison of property value to county median property value for the current address on subject's file
addrcurrenttractratio__ln,Ratio comparison of property value to tract median property value for the current address on subject's file
addrcurrentblockratio__ln,Ratio comparison of property value to block median property value for the current address on subject's file
addrcurrentcorrectional__ln,Indicates current address on subject's file is associated with a correctional institution
addrprevioustimeoldest__ln,Time (in months) since the subject was first reported at the most previous address on subject's file
addrprevioustimenewest__ln,Time (in months) since the subject was most recently reported at the most previous address on subject's file
addrpreviouslengthofres __ln,Indicates time (in months) between first date reported at the previous address and the first date reported at the current address on subject's file
addrprevioussubjectowned __ln,Indicates if a property ownership record is currently or ever was on file for the subject at the most previous address
addrpreviousownershipindex__ln,Index indicating subject's ownership level at the most previous address based on the property record on subject's file
addrpreviousdwelltype __ln,Indicates the dwelling type for the most previous address on subject's file
addrpreviousdwelltypeindex__ln,Index indicating the dwelling type for the most previous address on the subject's file
addrpreviouscorrectional__ln,Indicates previous address on subject's file is associated with a correctional institution
addrstabilityindex__ln,Address stability index indicating how often subject has changed addresses based on the address history on subject's file
addrchangecount03month__ln,Number of addresses first seen in last three months on subject's file
addrchangecount06month__ln,Number of addresses first seen in last six months on subject's file
addrchangecount12month__ln,Number of addresses first seen in last 12 months on subject's file
addrchangecount24month__ln,Number of addresses first seen in last 24 months on subject's file
addrchangecount60month__ln,Number of addresses first seen in last 60 months on subject's file
addrlastmovetaxratiodiff__ln,"Ratio comparing the difference in tax assessed value between the current address and the previous address (current address value divided by the previous address value if both are known) on subject's file, if the move occurred within the last five years"
addrlastmoveecontrajectory__ln,"Describes the value and home ownership status of the subject’s previous and current addresses in order to determine whether the subject’s most recent residential move (if the move occurred in the past five years) was to a similar property or a more upscale or downscale property. 
Note: Seniors (age 62 plus) who have moved default to the most positive level to prevent adverse action based on downsizing of empty nesters and retirees."
addrlastmoveecontrajectoryindex__ln,"For subjects with a move in the past five years, this index summarizes any difference in the relative property value or ownership status of the most recent residential move.  Lower values indicate movement to lower value or rented property, higher values indicate higher value property.  
Note: Seniors (age 62 plus) who have moved are defaulted to the most positive level to prevent adverse action based on downsizing of empty nesters and retirees."
phoneinputproblems__ln,Indicates problems associated with the input phone based on information on file
phoneinputsubjectcount__ln,Total number of unique subjects on file currently reported with the input phone
phoneinputmobile __ln,Indicates if input phone number is mobile phone based on phone directory information on file
alertregulatorycondition__ln,"Indicates subject has an alert on their file that is associated with state or federal regulations, consumer identity conditions, or bankruptcies on file"
alert1__ln,"Regulatory, bankruptcy, or scoring alert"
alert2__ln,"Regulatory, bankruptcy, or scoring alert"
alert3__ln,"Regulatory, bankruptcy, or scoring alert"
alert4__ln,"Regulatory, bankruptcy, or scoring alert"
alert5__ln,"Regulatory, bankruptcy, or scoring alert"
alert6__ln,"Regulatory, bankruptcy, or scoring alert"
alert7__ln,"Regulatory, bankruptcy, or scoring alert"
alert8__ln,"Regulatory, bankruptcy, or scoring alert"
alert9__ln,"Regulatory, bankruptcy, or scoring alert"
alert10__ln,"Regulatory, bankruptcy, or scoring alert"
consumerstatementtext__ln,Consumer statement on file
